1．（2017•安徽）12的相反数是（　　）A．12B．-12C．2 D．-2难度：0.81真题：71组卷：723
107．（2016•山西）-16的相反数是（　　）A．16B．-6 C．6 D．-16难度：0.60真题：4组卷：287
108．（2016•南宁）-2的相反数是（　　）A．-2 B．0 C．2 D．4难度：0.60真题：4组卷：244
109．（2016•宁波）6的相反数是（　　）A．-6 B．16C．-16D．6难度：0.60真题：3组卷：324
110．（2016•南通）2的相反数是（　　）A．-2 B．-12C．2 D．12难度：0.60真题：3组卷：129
111．（2016•茂名）2016的相反数是（　　）A．-2016 B．2016 C．-12016D．12016难度：0.60真题：3组卷：283
112．（2016•西宁）-13的相反数是（　　）A．13B．-3 C．3 D．-13难度：0.60真题：3组卷：245
113．（2016•恩施州）9的相反数是（　　）A．-9 B．9 C．19D．−19难度：0.60真题：1组卷：121
114．（2016•呼和浩特）互为相反数的两个数的和为（　　）A．0 B．-1 C．1 D．2难度：0.60真题：2组卷：1477
115．（2016•泸州）6的相反数为（　　）A．-6 B．6 C．-16D．16难度：0.60真题：2组卷：189
116．（2016•丽水）下列四个数中，与-2的和为0的数是（　　）A．-2 B．2 C．0 D．-12难度：0.60真题：1组卷：916
117．（2016•营口）-23的相反数是（　　）A．-8 B．8 C．-6 D．6难度：0.60真题：2组卷：1176
118．（2016•抚顺）3的相反数是（　　）A．-13B．-3 C．3 D．13难度：0.60真题：1组卷：107
119．（2016•贵阳）下面的数中，与-6的和为0的数是（　　）A．6 B．-6 C．16D．-16难度：0.60真题：1组卷：824
120．（2016•衡阳）-4的相反数是（　　）A．-14B．14C．-4 D．4难度：0.60真题：1组卷：218
121．（2016•无锡）-2的相反数是（　　）A．12B．±2 C．2 D．-12难度：0.60真题：1组卷：231
122．（2016•鄂州）-34的相反数是（　　）A．-34B．-43C．34D．43难度：0.60真题：1组卷：359
123．（2016•常山县模拟）-2的相反数是（　　）A．12B．-12C．2 D．-2难度：0.98真题：24组卷：165
124．（2016•南充模拟）12相反数是（　　）A．-12B．2 C．-2 D．12难度：0.94真题：22组卷：72
125．（2016•新化县三模）如果a与-3互为相反数，那么a等于（　　）A．3 B．-3 C．13D．−13难度：0.98真题：19组卷：1170
126．（2016•湖里区模拟）13的相反数是（　　）A．13B．−13C．3 D．-3难度：0.97真题：14组卷：221
127．（2016•冷水江市三模）2016的相反数是（　　）A．12016B．-2016 C．-12016D．2016难度：0.80真题：14组卷：544
128．（2016•大庆一模）12的相反数是（　　）A．2 B．-2 C．-12D．12难度：0.97真题：13组卷：219
129．（2016•达州模拟）-2的相反数是（　　）A．-2 B．-12C．2 D．12难度：0.87真题：11组卷：117
130．（2016•赣榆区一模）−12的相反数是（　　）A．12B．2 C．-2 D．−12难度：0.83真题：10组卷：151
131．（2016•赣州模拟）-2016的相反数是（　　）A．−12016B．12016C．6102 D．2016难度：0.77真题：10组卷：233
132．（2016•泉州模拟）有理数-2016的相反数是（　　）A．2016 B．-2016 C．12016D．-12016难度：0.60真题：10组卷：193
133．（2016•洛阳模拟）-|-2|的相反数是（　　）A．-12B．-2 C．12D．2难度：0.73真题：7组卷：342
134．（2016•东胜区二模）-2016的相反数是（　　）A．-2016 B．2016 C．±2016 D．12016难度：0.60真题：7组卷：102
135．（2016•宁阳县模拟）|−(−12)|的相反数是（　　）A．2 B．12C．-2 D．−12难度：0.92真题：6组卷：593
136．（2016•邹平县一模）-12015的相反数是（　　）A．2015 B．-2015 C．12015D．-12015难度：0.85真题：6组卷：294
137．（2016•黄冈模拟）2的倒数的相反数是（　　）A．12B．-12C．-2 D．2难度：0.92真题：5组卷：145
138．（2016•南海区校级模拟）2的相反数是（　　）A．2 B．-2 C．2D．12难度：0.86真题：5组卷：251
139．（2016•邹城市模拟）-2的相反数等于（　　）A．12B．-12C．-2 D．2难度：0.60真题：5组卷：31
140．（2016•贵州一模）-35的相反数是（　　）A．-35B．35C．53D．-53难度：0.93真题：4组卷：70
141．（2016•吴兴区模拟）-2015的相反数是（　　）A．-12015B．2015 C．12015D．-2015难度：0.82真题：4组卷：71
142．（2016•梅州校级模拟）-2015的相反数是（　　）A．-2015 B．12015C．2015 D．-12015难度：0.82真题：4组卷：557
143．（2016•邗江区一模）|-12|的相反数是（　　）A．2 B．12C．-2 D．-12难度：0.80真题：4组卷：376
144．（2016•大埔县一模）下列各组数中，互为相反数的是（　　）A．3和13B．3和-3 C．3和-13D．-3和-13难度：0.80真题：4组卷：406
145．（2016•马鞍山二模）-4的相反数是（　　）A．4 B．-4 C．-14D．14难度：0.77真题：4组卷：68
146．（2016•封开县二模）-5的相反数是（　　）A．15B．-5 C．-15D．5难度：0.94真题：3组卷：589
147．（2016•丹东一模）−58的相反数是（　　）A．−85B．−58C．58D．85难度：0.90真题：3组卷：347
148．（2016•哈尔滨模拟）数a的相反数是（　　）A．-a B．1aC．−1aD．a难度：0.90真题：3组卷：113
149．（2016•平武县一模）12的倒数的相反数是（　　）A．12B．2 C．-2 D．-12难度：0.90真题：3组卷：92
150．（2016•富顺县校级模拟）-2的倒数是a，则a的相反数是（　　）A．-2 B．-12C．12D．2难度：0.90真题：3组卷：98
151．（2016•白云区一模）-0.5的相反数是（　　）A．0.5 B．-0.5 C．-2 D．2难度：0.82真题：3组卷：83
152．（2016•清苑县一模）计算-（-2014）的结果是（　　）A．-2014 B．2014 C．−12014D．12014难度：0.80真题：3组卷：261
153．（2016•永新县一模）若x与2互为相反数，则|x+2|的值是（　　）A．-2 B．0 C．2 D．4难度：0.60真题：2组卷：370
154．（2016•河南模拟）下面的数中，与-2的和为0的是（　　）A．12B．-12C．2 D．-2难度：0.80真题：2组卷：127
155．（2016•重庆模拟）4的相反数是（　　）A．-4 B．4 C．-14D．14难度：0.80真题：2组卷：67
156．（2016•邢台二模）-16的相反数是（　　）A．-6 B．-16C．16D．6难度：0.75真题：2组卷：81
157．（2016•启东市二模）如图，如果数轴上A，B两点表示的数互为相反数，那么点B表示的数为（　　）A．2 B．-2 C．3 D．-3难度：0.71真题：2组卷：515
158．（2016•顺义区二模）如图，数轴上有A，B，C，D四个点，其中表示互为相反数的点是（　　）A．点A与点B B．点B与点C C．点B与点D D．点A与点D难度：0.60真题：2组卷：291
159．（2016•陕西校级模拟）-12是12的（　　）A．倒数 B．绝对值 C．相反数 D．平方难度：0.60真题：2组卷：148
160．（2016•端州区一模）计算-（-2012）的结果是（　　）A．2012 B．-2012 C．12012D．−12012难度：0.60真题：2组卷：307
161．（2016•张家港市二模）−14的相反数是（　　）A．−14B．14C．-4 D．4难度：0.60真题：2组卷：64
162．（2016•枣庄模拟）-23的相反数是（　　）A．-32B．23C．32D．-23难度：0.60真题：2组卷：80
163．（2016•镇海区一模）-（-2）的相反数是（　　）A．12B．2 C．-2 D．-12难度：0.60真题：2组卷：224
164．（2016•姜堰区二模）-13的相反数是（　　）A．−13B．13C．0 D．3难度：0.60真题：2组卷：53
165．（2016•朝阳区校级一模）-11的相反数是（　　）A．11 B．-11 C．111D．-111难度：0.80真题：1组卷：37
166．（2016•朝阳区二模）如图，在单位长度为1的数轴上，点A、B表示的两个数互为相反数，那么点A表示的数是（　　）A．2 B．-2 C．3 D．-3难度：0.80真题：1组卷：366
167．（2016•当涂县一模）|-9|的相反数是（　　）A．-9 B．9 C．3 D．没有难度：0.60真题：1组卷：190
168．（2016•海拉尔区模拟）下列四个数中，其相反数是正整数的是（　　）A．3 B．-2 C．13D．-12难度：0.60真题：1组卷：4
169．（2016•胶州市一模）下列四个数中，相反数是-15的数是（　　）A．5 B．15C．-5 D．-15难度：0.60真题：1组卷：57
170．（2016•张家界模拟）一个数的相反数是-2016，则这个数是（　　）A．2016 B．-2016 C．-|-2016| D．12016难度：0.60真题：1组卷：129
171．（2016•无棣县模拟）如果a与b互为相反数，那么a+b=（　　）A．-2a B．0C．2a D．以上答案均不正确难度：0.60真题：1组卷：239
172．（2016•河南模拟）-16的相反数是（　　）A．-6 B．6 C．-|-16| D．16难度：0.60真题：1组卷：32
173．（2016•龙岩模拟）如图，O为原点，数轴上A，B，O，C四点，表示的数与点A所表示的数是互为相反数的点是（　　）A．点B B．点O C．点A D．点C难度：0.60真题：1组卷：184
174．（2016•江西模拟）下列各组数中互为相反数的是（　　）A．2 与-12B．-2与2 C．2 与丨-2| D．12与-2难度：0.60真题：1组卷：149
175．（2016•宁波一模）-2的相反数是（　　）A．2 B．12C．0 D．-12难度：0.60真题：1组卷：41
176．（2016•南安市模拟）数a的相反数是（　　）A．|a| B．1aC．-a D．a难度：0.60真题：1组卷：108
177．（2016•山西模拟）-16的相反数是（　　）A．-116B．-16 C．116D．16难度：0.60真题：1组卷：45
178．（2016•孝昌县一模）-16的倒数的相反数是（　　）A．16B．6 C．-16D．-6难度：0.60真题：1组卷：321
179．（2016•深圳模拟）下列是-3的相反数是（　　）A．3 B．-13C．13D．-3难度：0.60真题：1组卷：48
180．（2016•武城县一模）-2016的相反数是（　　）A．12016B．-2016 C．-12016D．2016难度：0.60真题：1组卷：40
181．（2016•都匀市一模）-12016的相反数是（　　）A．12016B．-12016C．2016 D．-2016难度：0.60真题：1组卷：116
182．（2016•丰台区一模）如图，数轴上有A，B，C，D四个点，其中表示-2的相反数的点是（　　）A．点A B．点B C．点C D．点D难度：0.60真题：1组卷：334
183．（2016•襄州区模拟）-2的相反数是（　　）A．-2 B．2 C．0难度：0.60真题：1组卷：39
184．（2016•靖江市校级二模）14的相反数为（　　）A．14B．-14C．4 D．-4难度：0.60真题：1组卷：0
185．（2016•合肥二模）-2的相反数是（　　）A．2 B．1 C．12D．-12难度：0.60真题：1组卷：2
186．（2016秋•沧州期末）如果a表示有理数，那么下列说法中正确的是（　　）A．+a和-（-a）互为相反数 B．+a和-a一定不相等C．-a一定是负数 D．-（+a）和+（-a）一定相等难度：0.81真题：26组卷：201
187．（2016秋•临河区期末）下列各组数中，互为相反数的是（　　）A．-（-1）与1 B．（-1）2与1 C．|-1|与1 D．-12与1难度：0.83真题：22组卷：33
188．（2016秋•河源校级期末）一个数的相反数比它的本身大，则这个数是（　　）A．正数 B．负数 C．0 D．负数和0难度：0.54真题：15组卷：295
189．（2016秋•惠山区期末）一个数的相反数是2，这个数是（　　）A．12B．−12C．2 D．-2难度：0.82真题：13组卷：18
190．（2016秋•河西区校级期末）下列各组数中，互为相反数的是（　　）A．|+2|与|-2| B．-|+2|与+（-2） C．-（-2）与+（+2） D．|-（-3）|与-|-3|难度：0.54真题：12组卷：96
191．（2016秋•临河区校级期末）一个数的相反数是它本身，则该数为（　　）A．0 B．1 C．-1 D．不存在难度：0.86真题：9组卷：65
192．（2016秋•裕安区校级期末）若a、b、c都是有理数，那么2a-3b+c的相反数是（　　）A．3b-2a-c B．-3b-2a+c C．3b-2a+c D．3b+2a-c难度：0.78真题：7组卷：39
193．（2016秋•高阳县期末）下列各组数中，互为相反数的是（　　）A．-1与（-1）2 B．1与（-1）2 C．2与12D．2与|-2|难度：0.80真题：5组卷：524
194．（2016秋•平房区期末）-3的相反数是（　　）A．-3 B．13C．3 D．-13难度：0.75真题：5组卷：18
195．（2016秋•三明期末）-9的相反数是（　　）A．19B．-19C．9 D．-9难度：0.84真题：3组卷：16
196．（2016秋•新市区期末）-5的相反数是（　　）A．15B．-15C．5 D．-5难度：0.80真题：3组卷：3
197．（2016秋•罗湖区期末）-3的相反数是（　　）A．-3 B．3 C．−13D．13难度：0.80真题：3组卷：2
198．（2016秋•金沙县校级期末）-3的相反数是（　　）A．13B．-13C．-3 D．3难度：0.77真题：3组卷：13
199．（2016秋•东平县期末）下列各组数中，互为相反数的是（　　）A．-1与（-1）2 B．（-1）2与1 C．2与12D．2与|-2|难度：0.77真题：3组卷：7
200．（2016秋•双台子区期末）15的相反数为（　　）A．5 B．-15C．15D．-5难度：0.80真题：2组卷：1
201．（2016秋•东平县期末）下列说法正确的是（　　）A．23和32互为相反数B．18和-0.125互为相反数C．-a的相反数是正数D．表示相反意义的量中的两个数是相反数难度：0.77真题：2组卷：51
202．（2016秋•淮安期末）-2的相反数等于（　　）A．2 B．-12C．±2 D．±12难度：0.75真题：2组卷：10
203．（2016秋•哈尔滨期末）已知-2与m互为相反数，则m的值是（　　）A．-12B．12C．-2 D．2难度：0.60真题：2组卷：4
204．（2016秋•胶州市期末）下列各数中，相反数是-2的是（　　）A．-12B．12C．-2 D．2难度：0.80真题：1组卷：2
205．（2016秋•海淀区期末）若a+3=0，则a的相反数是（　　）A．3 B．13C．-13D．-3难度：0.80真题：1组卷：4
206．（2016秋•新会区期末）-2017的相反数和倒数分别是（　　）A．2017，12017B．−12017，2017C．2017，−12017D．-2017，12017难度：0.60真题：1组卷：1
207．（2016秋•河北期末）-2017的相反数是（　　）A．-12017B．12017C．7102 D．2017难度：0.60真题：1组卷：5
208．（2016秋•揭西县期末）3的相反数是（　　）A．3 B．-3 C．12D．-13难度：0.60真题：1组卷：0
209．（2016春•顺义区期末）如图，数轴上有A，B，C，D四个点，其中表示-1的相反数的点是（　　）A．点A B．点B C．点C D．点D难度：0.60真题：1组卷：97
210．（2016秋•镇海区期末）-5的相反数是（　　）A．5 B．-15C．15D．-5难度：0.60真题：1组卷：0
211．（2016秋•蓝田县期末）-94的相反数是（　　）A．94B．-94C．±94D．-49难度：0.60真题：1组卷：1
212．（2016秋•龙湖区期末）-5的相反数等于（　　）A．-5 B．5 C．±5 D．无法确定难度：0.60真题：1组卷：0
213．（2016秋•苏州期末）-2的相反数是（　　）A．-2 B．2 C．12D．-12难度：0.60真题：1组卷：1
214．（2016秋•官渡区期末）-3的相反数是（　　）A．-13B．3 C．13D．-3难度：0.60真题：1组卷：1
215．（2016秋•青龙县期末）如果x的相反数是2，那么x的值是（　　）A．12B．-12C．2 D．-2难度：0.60真题：1组卷：3
216．（2016秋•滨江区期末）23的相反数是（　　）A．32B．-23C．-32D．23难度：0.60真题：1组卷：0
217．（2016春•浦东新区期末）下列语句：①正数与负数互为相反数；②任何有理数都有相反数；③一个数的相反数一定是负数，正确的个数有（　　）A．0 个 B．1个 C．2 个 D．3个难度：0.60真题：1组卷：499
218．（2016秋•龙岗区期末）-18的相反数是（　　）A．-18B．-8 C．18D．8难度：0.60真题：1组卷：1
219．（2016秋•惠民县期末）若a与b互为相反数，则下列化简a-b的结果：①-2b、②-2a、③2a、④2b，其中结果正确的个数为（　　）A．1 B．2 C．3 D．4难度：0.60真题：1组卷：13
220．（2016秋•宁城县期末）20的相反数为（　　）A．20 B．-20 C．120D．-120难度：0.60真题：1组卷：1
221．（2016秋•马尾区期末）-2017的相反数是（　　）A．-2017 B．2017 C．±2017 D．12017难度：0.60真题：1组卷：2
222．（2016秋•桂林期末）-2016的相反数是（　　）A．-2016 B．-12016C．12016D．2016难度：0.60真题：1组卷：3
223．（2016秋•徐州期末）12的相反数是（　　）A．-2 B．-12C．12D．2难度：0.60真题：1组卷：1
224．（2016秋•临城县期末）若a+3=0，则a=（　　）A．13B．-13C．3 D．-3难度：0.60真题：1组卷：1
225．（2016秋•靖远县期末）-5的相反数是（　　）A．5 B．15C．-5 D．0.5难度：0.60真题：1组卷：0
226．（2016秋•蚌埠期中）下列各对数中，互为相反数的是（　　）A．-（-2）和2 B．+（-3）和-（+3） C．12和−2 D．-（-5）和-|-5|难度：0.84真题：36组卷：168
227．（2016秋•兴隆县期中）下列化简，正确的是（　　）A．-（-3）=-3 B．-[-（-10）]=-10 C．-（+5）=5 D．-[-（+8）]=-8难度：0.93真题：33组卷：85
228．（2016秋•桑植县期中）下面说法正确的有（　　）①π的相反数是-3.14；②符号相反的数互为相反数；③-（-3.8）的相反数是3.8；④一个数和它的相反数不可能相等；⑤正数与负数互为相反数．A．0个 B．1个 C．2个 D．3个难度：0.83真题：19组卷：187
