1．（2017•随州）-2的绝对值是（　　）A．2 B．-2 C．12D．−12难度：0.98真题：121组卷：828
36．（2017•东莞市二模）a，b在数轴上的位置如图，化简|a+b|的结果是（　　）A．-a-b B．a+b C．a-b D．b-a难度：0.60真题：2组卷：1169
37．（2017•长春一模）-5的绝对值是（　　）A．-15B．5 C．-5 D．±5难度：0.60真题：2组卷：64
38．（2016秋•长春月考）点A，B在数轴上的位置如图所示，其对应的数分别是a和b，对于以下结论：甲：b-a＜0；乙：a+b＞0；丙：|a|＜|b|；丁：ab＞0，其中正确的是（　　）A．甲、乙 B．丙、丁 C．甲、丙 D．乙、丁难度：0.60真题：1组卷：17
39．（2017•宜城市模拟）-2的倒数的绝对值（　　）A．-2 B．2 C．12D．-12难度：0.60真题：2组卷：18
40．（2016•石景山区二模）如图，数轴上有四个点M，P，N，Q，若点M，N表示的数互为相反数，则图中表示绝对值最大的数对应的点是（　　）A．点M B．点N C．点P D．点Q难度：0.60真题：1组卷：443
41．（2017•番禺区一模）计算|-2017|的结果是（　　）A．-2017 B．−12017C．2017 D．12017难度：0.80真题：1组卷：23
42．（2017•松江区二模）-8的绝对值是（　　）A．-8 B．8 C．-18D．18难度：0.80真题：1组卷：7
43．（2017•盂县二模）-2的绝对值是（　　）A．-2 B．12C．±2 D．2难度：0.60真题：1组卷：22
44．（2017•张家港市模拟）-4的绝对值等于（　　）A．-14B．-14C．-4 D．4难度：0.60真题：1组卷：7
45．（2017•资中县模拟）-12017的绝对值是（　　）A．-2017 B．12017C．2017 D．−12017难度：0.60真题：1组卷：0
46．（2017•海口模拟）|2-5|=（　　）A．-7 B．7 C．-3 D．3难度：0.60真题：1组卷：0
47．（2017•肥城市二模）|-2017|的相反数是（　　）A．2017 B．12017C．-2017 D．-12017难度：0.60真题：1组卷：5
48．（2017•东光县一模）-7的绝对值是（　　）A．-7 B．7 C．±7 D．17难度：0.60真题：1组卷：25
49．（2017•河北模拟）下列算式中，运算结果为负数的是（　　）A．-（-2）3 B．-|-1| C．-（-52） D．（-3）2难度：0.60真题：1组卷：110
50．（2017•濮阳一模）-3的绝对值是（　　）A．13B．-13C．-3 D．3难度：0.60真题：1组卷：75
51．（2017•德阳模拟）|-3+1|=（　　）A．4 B．-4 C．2 D．-2难度：0.60真题：1组卷：25
52．（2017•合肥模拟）|-6|=（　　）A．16B．6 C．-6 D．±6难度：0.60真题：1组卷：15
53．（2017•濮阳二模）-2017绝对值是（　　）A．-2017 B．2017 C．12017D．0难度：0.60真题：1组卷：9
54．（2017•祁阳县二模）-|-2017|等于（　　）A．2017 B．-2017 C．1 D．0难度：0.60真题：1组卷：37
55．（2017•开江县一模）-|-2017|的相反数是（　　）A．2017 B．12017C．-2017 D．-12017难度：0.60真题：1组卷：74
56．（2017•余姚市模拟）-2017的绝对值是（　　）A．±2017 B．-2017 C．12017D．2017难度：0.60真题：1组卷：4
57．（2017•贵港二模）3的绝对值是（　　）A．13B．-13C．3 D．-3难度：0.60真题：1组卷：9
58．（2017•邵阳一模）-（-2）2的绝对值的相反数是（　　）A．4 B．-4 C．-2 D．2难度：0.60真题：1组卷：40
59．（2017•萧山区模拟）|-2|=（　　）A．-2 B．2 C．±2 D．4难度：0.60真题：1组卷：12
60．（2017•普宁市一模）-2017的绝对值是（　　）A．-2017 B．2017 C．-12017D．12017难度：0.60真题：1组卷：3
61．（2017春•鄂州期中）|-8|的相反数是（　　）A．-8 B．8 C．18D．-18难度：0.60真题：2组卷：19
62．（2017春•闵行区校级期中）|a|+|b|=|a+b|，则a，b关系是（　　）A．a，b的绝对值相等B．a，b异号C．a+b的和是非负数D．a，b同号或其中至少一个为零难度：0.54真题：2组卷：76
63．（2017春•闵行区校级期中）如果|x-3|=3-x，那么x的取值范围是（　　）A．x＞3 B．x≤3 C．x＜3 D．x≥3．难度：0.60真题：1组卷：49
64．（2017春•靖江市校级月考）-9的绝对值是（　　）A．9 B．-9 C．3 D．-3难度：0.80真题：1组卷：0
65．（2017春•海宁市校级月考）若|x|=2，则x的值是（　　）A．2 B．-2 C．2和-2 D．2或0难度：0.60真题：1组卷：241
66．（2016•宿迁）-2的绝对值是（　　）A．-2 B．-12C．12D．2难度：0.99真题：141组卷：1582
67．（2016•本溪）-2的绝对值是（　　）A．-2 B．-12C．2 D．12难度：0.99真题：113组卷：1258
68．（2016•泉州）-3的绝对值是（　　）A．3 B．-3 C．-13D．13难度：0.99真题：98组卷：888
69．（2016•莆田）−12的绝对值是（　　）A．12B．−12C．2 D．-2难度：0.99真题：79组卷：1880
70．（2016•绵阳）-4的绝对值是（　　）A．4 B．-4 C．14D．−14难度：0.98真题：14组卷：517
71．（2016•南京）数轴上点A、B表示的数分别是5、-3，它们之间的距离可以表示为（　　）A．-3+5 B．-3-5 C．|-3+5| D．|-3-5|难度：0.60真题：8组卷：4054
72．（2016•河北）点A，B在数轴上的位置如图所示，其对应的数分别是a和b．对于以下结论：甲：b-a＜0乙：a+b＞0丙：|a|＜|b|丁：ba＞0其中正确的是（　　）A．甲乙 B．丙丁 C．甲丙 D．乙丁难度：0.60真题：8组卷：3695
73．（2016•绍兴）-8的绝对值等于（　　）A．8 B．-8 C．−18D．18难度：0.92真题：7组卷：610
74．（2016•哈尔滨）-6的绝对值是（　　）A．-6 B．6 C．16D．-16难度：0.60真题：6组卷：298
75．（2016•安徽）-2的绝对值是（　　）A．-2 B．2 C．±2 D．12难度：0.60真题：6组卷：533
76．（2016•宜宾）-5的绝对值是（　　）A．15B．5 C．-15D．-5难度：0.78真题：3组卷：568
77．（2016•德阳）|-2|=（　　）A．2 B．-2 C．±2 D．12难度：0.60真题：4组卷：116
78．（2016•广安）-3的绝对值是（　　）A．13B．-3 C．3 D．±3难度：0.60真题：3组卷：311
79．（2016•娄底）已知点M、N、P、Q在数轴上的位置如图，则其中对应的数的绝对值最大的点是（　　）A．M B．N C．P D．Q难度：0.60真题：3组卷：4090
80．（2016•眉山）-5的绝对值是（　　）A．5 B．-5 C．-15D．15难度：0.60真题：2组卷：208
81．（2016•阿坝州）-3的绝对值是（　　）A．13B．-13C．3 D．-3难度：0.60真题：2组卷：175
82．（2016•凉山州）−12016的倒数的绝对值是（　　）A．-2016 B．12016C．2016 D．−12016难度：0.60真题：1组卷：1018
83．（2016•锦州）|-6|的相反数是（　　）A．6 B．-6 C．16D．−16难度：0.60真题：1组卷：1604
84．（2016•荆门）2的绝对值是（　　）A．2 B．-2 C．12D．-12难度：0.60真题：1组卷：255
85．（2016•新疆）-2的绝对值是（　　）A．2 B．-2 C．±2 D．12难度：0.60真题：1组卷：172
86．（2016•贵港）-2的绝对值是（　　）A．2 B．-2 C．0 D．1难度：0.60真题：1组卷：182
87．（2016•玉林）9的绝对值是（　　）A．9 B．-9 C．3 D．±3难度：0.60真题：1组卷：323
88．（2016•大庆校级自主招生）如图所示，a，b是有理数，则式子|a|+|b|+|a+b|+|b-a|化简的结果为（　　）A．3a+b B．3a-b C．3b+a D．3b-a难度：0.54真题：6组卷：1893
89．（2016•蓝山县校级自主招生）若a≠0，b≠0，则代数式a|a|+b|b|+ab|ab|的取值共有（　　）A．2个 B．3个 C．4个 D．5个难度：0.83真题：4组卷：760
90．（2016•博野县校级自主招生）已知数轴上的三点A、B、C，分别表示有理数a、1、-1，那么|a+1|表示为（　　）A．A、B两点间的距离B．A、C两点间的距离C．A、B两点到原点的距离之和D．A、C两点倒原点的距离之和难度：0.53真题：3组卷：964
91．（2016•郯城县一模）-5的绝对值是（　　）A．15B．−15C．+5 D．-5难度：0.82真题：23组卷：441
92．（2016•兴化市校级三模）-3的绝对值等于（　　）A．3 B．13C．−13D．-3难度：0.99真题：22组卷：218
93．（2016•福清市模拟）-2016的绝对值是（　　）A．2016 B．-2016 C．12016D．-12016难度：0.60真题：18组卷：307
94．（2016•官渡区二模）−23的绝对值是（　　）A．−32B．−23C．23D．32难度：0.94真题：12组卷：185
95．（2016•株洲模拟）-4的绝对值是（　　）A．-4 B．4 C．±4 D．-14难度：0.98真题：11组卷：303
96．（2016•江西模拟）-4的绝对值是（　　）A．2 B．4 C．-4 D．16难度：0.98真题：8组卷：119
97．（2016•陆丰市校级模拟）下列各式不成立的是（　　）A．|-2|=2 B．|+2|=|-2| C．-|+2|=±|-2| D．-|-3|=+（-3）难度：0.71真题：7组卷：222
98．（2016•建阳市模拟）-2016的绝对值是（　　）A．-2016 B．2016 C．-12016D．12016难度：0.77真题：6组卷：175
99．（2016•新乡模拟）-12的绝对值为（　　）A．-2 B．-12C．12D．1难度：0.98真题：5组卷：131
100．（2016•满洲里市模拟）-6的绝对值的倒数等于（　　）A．6 B．16C．-16D．-6难度：0.80真题：5组卷：135
101．（2016•五莲县一模）-2015的绝对值是（　　）A．2015 B．-2015 C．12015D．-12015难度：0.80真题：5组卷：180
102．（2016•丹东一模）−12015的绝对值是（　　）A．−12015B．12015C．2015 D．-2015难度：0.87真题：4组卷：371
103．（2016•莆田模拟）12的绝对值是（　　）A．-2 B．−12C．2 D．12难度：0.82真题：4组卷：84
104．（2016•新泰市模拟）若x为实数，则代数式|x|-x的值一定是（　　）A．正数 B．非正数 C．非负数 D．负数难度：0.80真题：4组卷：1109
105．（2016•黄石模拟）-6的绝对值是（　　）A．-6 B．-16C．6 D．16难度：0.94真题：3组卷：81
106．（2016•五指山校级模拟）若|-x|=5，则x等于（　　）A．-5 B．5 C．15D．±5难度：0.80真题：3组卷：643
107．（2016•抚顺模拟）若|x|=2016，则x等于（　　）A．-2016 B．2016 C．12016D．±2016难度：0.60真题：3组卷：535
108．（2016•赵县一模）-3的绝对值等于（　　）A．-3 B．3 C．±3 D．3难度：0.99真题：2组卷：116
109．（2016•沈河区二模）|-2|的绝对值的相反数是（　　）A．-2 B．2 C．-3 D．3难度：0.82真题：2组卷：453
110．（2016•卧龙区二模）若|2x-1|=1-2x，则下列不等式成立的是（　　）A．2x-1＞0 B．2x-1＜0 C．2x-1≥0 D．2x-1≤0难度：0.80真题：2组卷：817
111．（2016•微山县二模）-2的绝对值是（　　）A．2 B．2C．±2D．12难度：0.60真题：2组卷：104
112．（2016•市北区一模）16的绝对值是（　　）A．-6 B．6 C．-16D．16难度：0.60真题：2组卷：113
113．（2016•凤城市二模）|-2016|的相反数是（　　）A．12016B．-2016 C．−12016D．2016难度：0.60真题：2组卷：195
114．（2016•门头沟区二模）有理数a，b，c在数轴上的位置如图所示，下面结论正确的是（　　）A．c＞a B．1c＞0 C．|a|＜|b| D．a-c＜0难度：0.60真题：2组卷：506
115．（2016•襄城区模拟）-2016的倒数的绝对值为（　　）A．-2016 B．−12016C．2016 D．12016难度：0.60真题：2组卷：134
116．（2016•泰兴市一模）-12016的绝对值是（　　）A．-2016 B．12016C．-12016D．2016难度：0.60真题：2组卷：121
117．（2016•苏州二模）-5的绝对值是（　　）A．5 B．-15C．-5 D．15难度：0.60真题：2组卷：60
118．（2016•大庆一模）a、b在数轴上的位置如图所示，则下列式子正确的是（　　）A．a+b＞0 B．a+b＞a-b C．|a|＞|b| D．ab＜0难度：0.80真题：1组卷：524
119．（2016•南京二模）下列关于“-1”的说法中，错误的是（　　）A．-1的相反数是1 B．-1是最小的负整数C．-1的绝对值是1 D．-1是最大的负整数难度：0.80真题：1组卷：435
120．（2016•河北模拟）如图，四个有理数在数轴上的对应点分别为M，P，N，Q，若原点在点N与点P之间，则绝对值最大的数表示的点是（　　）A．点M B．点P C．点Q D．点N难度：0.60真题：1组卷：834
121．（2016•陕西校级模拟）−14的绝对值是（　　）A．-4 B．14C．4 D．0.4难度：0.60真题：1组卷：43
122．（2016•萧山区二模）绝对值最小的有理数是（　　）A．-1 B．0 C．1 D．不存在难度：0.60真题：1组卷：507
123．（2016•晋江市模拟）−12016的绝对值是（　　）A．−12016B．12016C．2016 D．-2016难度：0.60真题：1组卷：69
124．（2016•泰安模拟）如图，数轴上有A，B，C，D四个点，其中表示-3的绝对值的点是（　　）A．点A B．点B C．点C D．点D难度：0.60真题：1组卷：302
125．（2016•广州模拟）-1的绝对值是（　　）A．-1 B．1 C．0 D．±1难度：0.60真题：1组卷：50
126．（2016•石景山区一模）如图，数轴上有A，B，C，D四个点，其中绝对值小于2的数对应的点是（　　）A．点A B．点B C．点C D．点D难度：0.60真题：1组卷：485
127．（2016•曲靖模拟）-312的绝对值是（　　）A．312B．−27C．27D．−27难度：0.60真题：1组卷：48
128．（2016•通州区二模）随着北京公交票制票价调整，公交集团更换了新版公交站票，乘客在乘车时可以通过新版公交站牌计算乘车费用，新版站牌每一个站名上方都有一个相应的数字，将上下车站站名称对应数字相减取绝对值就是乘车路程，再按照其所在计价区段，参考票制规则计算票价，具体来说：乘车路程计价区段 0-10 11-15 16-20 -对应票价（元） 2 3 4 -另外，一卡通刷卡实行5折优惠，小明用一卡通乘车上车时站名上对应的数字是5，下车时站名上对应的数字是22，那么小明乘车的费用是（　　）A．2元 B．2.5元 C．3.5元 D．4元难度：0.60真题：1组卷：66
129．（2016•苏州一模）如果x=2016，那么|x-4|的值是（　　）A．±2012 B．2012 C．-2012 D．2014难度：0.60真题：1组卷：170
130．（2016•鄂城区一模）|-2|=x，则x的值为（　　）A．2 B．-2 C．±2 D．2难度：0.60真题：1组卷：485
131．（2016•颍泉区二模）|-4|等于（　　）A．4 B．-4 C．14D．-14难度：0.60真题：1组卷：126
132．（2016•陕西校级二模）下列各数中是负数的是（　　）A．|-6| B．（-6）-1 C．-（-6） D．（-6）0难度：0.60真题：1组卷：10
133．（2016•高安市二模）如果a＜3，那么化简|a-3|为（　　）A．3-a B．a-3 C．-a D．a难度：0.60真题：1组卷：184
134．（2016•河北模拟）若|a+2|=a+2，则a的取值范围是（　　）A．a≥-2 B．a≤-2 C．a＜-2 D．a＞-2难度：0.60真题：1组卷：677
135．（2016•张家港市二模）若a＞3，化简|a|-|3-a|的结果为（　　）A．3 B．-3 C．2a-3 D．2a+3难度：0.60真题：1组卷：751
136．（2016•夏津县二模）|-2016|等于（　　）A．-2016 B．2016 C．±2016 D．-12016难度：0.60真题：1组卷：65
137．（2016•深圳校级二模）计算|-2|的结果是（　　）A．2 B．12C．-12D．-2难度：0.60真题：1组卷：53
138．（2016•郑州校级模拟）m的绝对值是1，则m的值为（　　）A．1 B．-1 C．±1 D．0难度：0.60真题：1组卷：190
139．（2016•吉林二模）-11的绝对值是（　　）A．11 B．-11 C．111D．-111难度：0.60真题：1组卷：34
140．（2016•邵阳校级模拟）数轴上A、B、C三点所代表的数分别是a、1、c，且|c-1|-|a-1|=|a-c|．若下列选项中，有一个表示A、B、C三点在数轴上的位置关系，则此选项为（　　）A． B．C． D．难度：0.60真题：1组卷：471
141．（2016•十堰二模）|-6|的相反数是（　　）A．-6 B．6 C．-16D．16难度：0.60真题：1组卷：129
142．（2016•富顺县校级模拟）若m是-0.5的倒数，则m的绝对值等于（　　）A．−12B．-2 C．12D．2难度：0.60真题：1组卷：337
143．（2016•零陵区校级模拟）-12的绝对值是（　　）A．-12B．12C．-2 D．2难度：0.60真题：1组卷：35
144．（2016春•翔安区期末）下列说法不正确的是（　　）A．0既不是正数，也不是负数B．1是绝对值最小的数C．一个有理数不是整数就是分数D．0的绝对值是0难度：0.79真题：86组卷：271
145．（2016秋•龙海市期末）已知|x|=4，|y|=5且x＞y，则2x-y的值为（　　）A．-13 B．+13 C．-3或+13 D．+3或-13难度：0.54真题：25组卷：879
146．（2016秋•萧山区校级期末）对于任何有理数a，下列各式中一定为负数的是（　　）A．-（-3+a） B．-a C．-|a+1| D．-|a|-1难度：0.68真题：15组卷：71
147．（2016秋•秦皇岛期末）若|2a|=-2a，则a一定是（　　）A．正数 B．负数 C．正数或零 D．负数或零难度：0.60真题：14组卷：61
148．（2016秋•召陵区期末）|-2|等于（　　）A．-2 B．-12C．2 D．12难度：0.75真题：10组卷：14
149．（2016秋•曹县期末）如果a表示一个任意有理数，那么下面说法正确的是（　　）A．-a是负数 B．|a|一定是正数C．|a|一定不是负数 D．|-a|一定是负数难度：0.49真题：8组卷：120
150．（2016秋•丰都县期末）绝对值小于4.6的整数有（　　）A．10个 B．9个 C．8个 D．7个难度：0.92真题：6组卷：29
151．（2016秋•碑林区校级期末）若|x|=a，则|x-a|=（　　）A．2x或2a B．x-a C．a-x D．零难度：0.73真题：4组卷：25
152．（2016秋•商河县期末）下列说法中，正确的是（　　）A．绝对值等于它本身的数是正数B．任何有理数的绝对值都不是负数C．若线段AC=BC，则点C是线段AB的中点D．角的大小与角两边的长度有关，边越长角越大难度：0.66真题：4组卷：24
153．（2016秋•高阳县期末）若|-a|=5，则a的值是（　　）A．-5 B．5 C．15D．±5难度：0.90真题：3组卷：35
154．（2016秋•雅安期末）如果|a|=a，那么有理数a一定是（　　）A．正数 B．负数 C．非正数 D．非负数难度：0.83真题：3组卷：24
155．（2016秋•西青区校级期末）有理数a，b在数轴上的位置如图所示，则下列关系式：①|a|＞|b|；②a-b＞0；③a+b＞0；④1a+1b＞0；⑤-a＞-b，其中正确的个数有（　　）A．1个 B．2个 C．3个 D．4个难度：0.60真题：3组卷：36
156．（2016秋•衡阳期末）-52的绝对值是（　　）A．-52B．52C．-25D．25难度：0.80真题：2组卷：20
157．（2016秋•唐河县期末）2的相反数和绝对值分别是（　　）A．2，2 B．-2，2 C．-2，-2 D．2，-2难度：0.75真题：2组卷：37
158．（2016秋•十堰期末）有理数m，n，e，f在数轴上的对应点的位置如图所示，这四个数中，绝对值最小的是（　　）A．m B．n C．e D．f难度：0.66真题：2组卷：122
159．（2016秋•端州区期末）38的绝对值和相反数分别是（　　）A．−38，−38B．38，38C．−38，38D．38，−38难度：0.60真题：2组卷：47
160．（2016秋•西青区期末）给出下列判断：①若|m|＞0，则m＞0；②若m＞n，则|m|＞|n|；③若|m|＞|n|，则m＞n；④任意数m，则|m是正数；⑤在数轴上，离原点越远，该点对应的数的绝对值越大，其中正确的结论的个数为（　　）A．0 B．1 C．2 D．3难度：0.60真题：2组卷：51
161．（2016秋•临洮县校级期末）若x+|x|=0，则x一定是（　　）A．正数 B．负数 C．非负数 D．非正数难度：0.60真题：2组卷：12
162．（2016秋•石鼓区校级月考）绝对值不大于5的所有整数之和为（　　）A．15 B．-15 C．0 D．无法确定难度：0.48真题：2组卷：100
163．（2016春•静安区期末）当a＜0时，|a-1|等于（　　）A．a+1 B．-a-1 C．a-1 D．1-a难度：0.80真题：1组卷：189
164．（2016春•武隆县期末）在-22，（-2）2，-（-2），-|-2|中，负数的个数是（　　）A．1个 B．2个 C．3个 D．4个难度：0.80真题：1组卷：183
165．（2016秋•马鞍山期末）13的绝对值是（　　）A．−13B．-3 C．3 D．13难度：0.80真题：1组卷：1
166．（2016秋•南岸区校级期末）2017的绝对值是（　　）A．-2017 B．2017 C．12017D．-12017难度：0.80真题：1组卷：4
167．（2016秋•单县期末）|-23|是相反数是（　　）A．-23B．23C．-32D．32难度：0.60真题：1组卷：3
168．（2016秋•娄星区期末）|-2|的相反数是（　　）A．2 B．-2 C．±2 D．12难度：0.60真题：1组卷：6
169．（2016秋•南漳县期末）下列各式结果为负数的是（　　）A．-（-1） B．（-1）4 C．-|-1| D．|-2|难度：0.60真题：1组卷：4
170．（2016秋•泉州期末）|3.14-π|的计算结果是（　　）A．0 B．π-3.14 C．3.14-π D．-3.14-π难度：0.60真题：1组卷：5
171．（2016秋•相城区期末）下列各组数中，互为相反数的是（　　）A．-3与−13B．|-3|与3 C．|−13|与−13D．−13与−|−13|难度：0.60真题：1组卷：6
172．（2016秋•下城区期末）-34的相反数是（　　）A．−43B．34C．43D．−|34|难度：0.60真题：1组卷：1
173．（2016秋•肥城市期末）若a、b都是不为零的数，则|a|a+|b|b+|ab|ab的结果为（　　）A．3或-3 B．3或-1 C．-3或1 D．3或-1或1难度：0.60真题：1组卷：20
174．（2016春•五莲县期末）如图，A、B两点在数轴上表示的数分别是a、b，则下列式子中一定成立的是（　　）A．ab＜2a B．1-3a＜1-3b C．|a|-|b|＞0 D．ab＞-b难度：0.60真题：1组卷：240
175．（2016秋•玉田县期末）|-5|的值是（　　）A．-5 B．5 C．15D．-15难度：0.60真题：1组卷：4
176．（2016秋•庐阳区校级期末）若a与b互为相反数，则|a+b-2|等于（　　）A．2 B．-2 C．1 D．-1难度：0.60真题：1组卷：9
177．（2016春•单县期末）3.14-π的绝对值是（　　）A．0 B．3.14-π C．π-3.14 D．3.14+π难度：0.60真题：1组卷：286
178．（2016秋•北海期末）-2017的绝对值是（　　）A．12017B．±2017 C．2017 D．-2017难度：0.60真题：1组卷：6
179．（2016秋•雁塔区校级期末）若a为有理数，则|a|-a一定是（　　）A．正数 B．负数 C．零 D．非负数难度：0.60真题：1组卷：0
180．（2016秋•泰山区期末）|-7|的相反数是（　　）A．17B．-17C．7 D．-7难度：0.60真题：1组卷：3
181．（2016秋•云梦县期末）若a＜0，那么|a|=（　　）A．a B．-a C．0 D．±a难度：0.60真题：1组卷：6
182．（2016秋•望谟县期末）|-2017|的值是（　　）A．−12017B．-2017 C．2017 D．12017难度：0.60真题：1组卷：3
183．（2016秋•临城县期末）下列四个数中，绝对值比它本身大的数是（　　）A．-2 B．0 C．1 D．3难度：0.60真题：1组卷：2
184．（2016秋•上城区期末）如果m表示有理数，那么|m|-m的值（　　）A．不可能是负数 B．可能是零或者负数C．必定是零 D．必定是正数难度：0.60真题：1组卷：17
185．（2016秋•碑林区校级期末）适合|2a+5|+|2a-3|=8的整数a的值有（　　）A．4个 B．5个 C．7个 D．9个难度：0.60真题：1组卷：7
186．（2016秋•吴中区期末）-2的绝对值是（　　）A．-2 B．2 C．±2 D．−12难度：0.60真题：1组卷：4
187．（2016春•沭阳县期末）有理数a，b，c都不为零，且a+b+c=0，则|b+c|a+|a+c|b+|a+b|c=（　　）A．1 B．±1 C．-1 D．0难度：0.40真题：1组卷：704
188．（2016秋•嵊州市校级期中）下列判断错误的是（　　）A．任何数的绝对值一定是正数B．一个负数的绝对值一定是正数C．一个正数的绝对值一定是正数D．任何数的绝对值都不是负数难度：0.73真题：24组卷：82
189．（2016秋•徐闻县期中）在有理数中，绝对值等于它本身的数有（　　）A．1个 B．2个 C．3个 D．无穷多个难度：0.79真题：22组卷：72
190．（2016秋•南开区月考）已知：a＞0，b＜0，|a|＜|b|＜1，那么以下判断正确的是（　　）A．1-b＞-b＞1+a＞a B．1+a＞a＞1-b＞-bC．1+a＞1-b＞a＞-b D．1-b＞1+a＞-b＞a难度：0.66真题：20组卷：971
191．（2016秋•昌平区期中）一个数的绝对值是3，则这个数可以是（　　）A．3 B．-3 C．3或-3 D．13难度：0.77真题：18组卷：52
192．（2016秋•环翠区期中）下列说法正确的是（　　）A．0既不是整数也不是分数B．整数和分数统称为有理数C．一个数的绝对值一定是正数D．绝对值等于本身的数是0和1难度：0.75真题：16组卷：63
193．（2016秋•常熟市期中）如果|a|=a，则（　　）A．a是正数 B．a是负数C．a是零 D．a是正数或零难度：0.82真题：14组卷：40
194．（2016秋•保康县期中）如图，数轴上的两个点A，B所表示的数分别是a，b，在a+b，a-b，ab，|a|-|b|中，是正数的有（　　）A．1个 B．2个 C．3个 D．4个难度：0.58真题：14组卷：184
195．（2016秋•仙游县期中）下列说法正确的是（　　）A．若|a|=-a，则a＜0B．若a＜0，ab＜0，则b＞0C．式子3xy2-4x3y+12是七次三项式D．若a=b，m是有理数，则am＝bm难度：0.73真题：12组卷：41
